line_number,raw_date,corrected_date,date,year_correction_applied,lift,lift_name,weight,reps,failed,estimated_1rm,raw
693,2022-07-18,2022-07-18,2022-07-18,False,bench,벤치프레스,100.0,3,False,110.00000000000001,100 * 3
694,2022-07-18,2022-07-18,2022-07-18,False,bench,벤치프레스,90.0,5,False,105.0,90 * 5
700,2022-07-21,2022-07-21,2022-07-21,False,bench,벤치프레스,60.0,5,False,70.0,60 * 5
701,2022-07-21,2022-07-21,2022-07-21,False,bench,벤치프레스,80.0,5,False,93.33333333333334,80 * 5
702,2022-07-21,2022-07-21,2022-07-21,False,bench,벤치프레스,90.0,5,False,105.0,90 * 5
703,2022-07-21,2022-07-21,2022-07-21,False,bench,벤치프레스,100.0,5,False,116.66666666666667,100 * 5
704,2022-07-21,2022-07-21,2022-07-21,False,bench,벤치프레스,100.0,5,False,116.66666666666667,100 * 5
705,2022-07-21,2022-07-21,2022-07-21,False,bench,벤치프레스,100.0,4,False,113.33333333333333,100 * 4
706,2022-07-21,2022-07-21,2022-07-21,False,bench,벤치프레스,90.0,5,False,105.0,90 * 5
707,2022-07-21,2022-07-21,2022-07-21,False,bench,벤치프레스,90.0,5,False,105.0,90 * 5
718,2022-07-23,2022-07-23,2022-07-23,False,squat,스쿼트,60.0,5,False,70.0,60 * 5
719,2022-07-23,2022-07-23,2022-07-23,False,squat,스쿼트,80.0,5,False,93.33333333333334,80 * 5
720,2022-07-23,2022-07-23,2022-07-23,False,squat,스쿼트,100.0,5,False,116.66666666666667,100 * 5
721,2022-07-23,2022-07-23,2022-07-23,False,squat,스쿼트,100.0,5,False,116.66666666666667,100 * 5
722,2022-07-23,2022-07-23,2022-07-23,False,squat,스쿼트,100.0,5,False,116.66666666666667,100 * 5
723,2022-07-23,2022-07-23,2022-07-23,False,squat,스쿼트,100.0,5,False,116.66666666666667,100 * 5
724,2022-07-23,2022-07-23,2022-07-23,False,squat,스쿼트,100.0,5,False,116.66666666666667,100 * 5
725,2022-07-23,2022-07-23,2022-07-23,False,squat,스쿼트,90.0,5,False,105.0,90 * 5
732,2022-07-25,2022-07-25,2022-07-25,False,bench,벤치프레스,60.0,5,False,70.0,60 * 5
