date,lift,lift_name,top_weight,best_estimated_1rm,total_volume,total_sets
2024-09-10,deadlift,데드리프트,210.0,217.00000000000003,1230.0,5
2024-09-11,squat,스쿼트,150.0,155.00000000000003,940.0,6
2024-09-12,bench,벤치프레스,120.0,128.0,1600.0,5
2024-09-23,bench,벤치프레스,120.0,128.33333333333334,2150.0,6
2024-09-27,deadlift,데드리프트,210.0,217.00000000000003,1230.0,5
2024-09-30,bench,벤치프레스,120.0,128.33333333333334,2150.0,6
2024-10-02,squat,스쿼트,150.0,155.00000000000003,1340.0,6
2024-10-07,bench,벤치프레스,120.0,128.33333333333334,2375.0,6
2024-10-08,deadlift,데드리프트,200.0,206.66666666666669,620.0,4
2024-10-14,bench,벤치프레스,120.0,128.33333333333334,2265.0,6
2024-10-15,deadlift,데드리프트,200.0,206.66666666666669,1020.0,4
2024-10-17,bench,벤치프레스,120.0,128.33333333333334,2265.0,6
2024-10-25,deadlift,데드리프트,200.0,206.66666666666669,1020.0,4
2024-10-28,bench,벤치프레스,120.0,128.33333333333334,2375.0,6
2024-11-05,deadlift,데드리프트,180.0,186.00000000000003,820.0,3
2024-11-06,squat,스쿼트,140.0,144.66666666666669,1175.0,8
2024-11-11,bench,벤치프레스,120.0,128.33333333333334,2375.0,6
2024-11-19,deadlift,데드리프트,200.0,206.66666666666669,1020.0,4
2024-11-20,squat,스쿼트,150.0,155.00000000000003,1340.0,6
2024-11-27,squat,스쿼트,150.0,155.00000000000003,940.0,6
2024-12-01,bench,벤치프레스,120.0,130.33333333333334,2600.0,6
