line_number,raw_date,corrected_date,date,month,lift,lift_name,weight,reps,sets,failed,estimated_1rm,raw,year_correction_applied
701,2022-07-21,2022-07-21,2022-07-21,2022-07,bench,벤치프레스,80.0,5,1,False,93.33333333333334,80 * 5,False
702,2022-07-21,2022-07-21,2022-07-21,2022-07,bench,벤치프레스,90.0,5,1,False,105.0,90 * 5,False
703,2022-07-21,2022-07-21,2022-07-21,2022-07,bench,벤치프레스,100.0,5,1,False,116.66666666666667,100 * 5,False
704,2022-07-21,2022-07-21,2022-07-21,2022-07,bench,벤치프레스,100.0,5,1,False,116.66666666666667,100 * 5,False
705,2022-07-21,2022-07-21,2022-07-21,2022-07,bench,벤치프레스,100.0,4,1,False,113.33333333333333,100 * 4,False
706,2022-07-21,2022-07-21,2022-07-21,2022-07,bench,벤치프레스,90.0,5,1,False,105.0,90 * 5,False
707,2022-07-21,2022-07-21,2022-07-21,2022-07,bench,벤치프레스,90.0,5,1,False,105.0,90 * 5,False
718,2022-07-23,2022-07-23,2022-07-23,2022-07,squat,스쿼트,60.0,5,1,False,70.0,60 * 5,False
719,2022-07-23,2022-07-23,2022-07-23,2022-07,squat,스쿼트,80.0,5,1,False,93.33333333333334,80 * 5,False
720,2022-07-23,2022-07-23,2022-07-23,2022-07,squat,스쿼트,100.0,5,1,False,116.66666666666667,100 * 5,False
721,2022-07-23,2022-07-23,2022-07-23,2022-07,squat,스쿼트,100.0,5,1,False,116.66666666666667,100 * 5,False
722,2022-07-23,2022-07-23,2022-07-23,2022-07,squat,스쿼트,100.0,5,1,False,116.66666666666667,100 * 5,False
723,2022-07-23,2022-07-23,2022-07-23,2022-07,squat,스쿼트,100.0,5,1,False,116.66666666666667,100 * 5,False
724,2022-07-23,2022-07-23,2022-07-23,2022-07,squat,스쿼트,100.0,5,1,False,116.66666666666667,100 * 5,False
725,2022-07-23,2022-07-23,2022-07-23,2022-07,squat,스쿼트,90.0,5,1,False,105.0,90 * 5,False
732,2022-07-25,2022-07-25,2022-07-25,2022-07,bench,벤치프레스,60.0,5,1,False,70.0,60 * 5,False
733,2022-07-25,2022-07-25,2022-07-25,2022-07,bench,벤치프레스,80.0,5,1,False,93.33333333333334,80 * 5,False
734,2022-07-25,2022-07-25,2022-07-25,2022-07,bench,벤치프레스,90.0,5,1,False,105.0,90 * 5,False
735,2022-07-25,2022-07-25,2022-07-25,2022-07,bench,벤치프레스,100.0,5,1,False,116.66666666666667,100 * 5,False
736,2022-07-25,2022-07-25,2022-07-25,2022-07,bench,벤치프레스,100.0,4,1,False,113.33333333333333,100 * 4,False
737,2022-07-25,2022-07-25,2022-07-25,2022-07,bench,벤치프레스,90.0,5,1,False,105.0,90 * 5,False
738,2022-07-25,2022-07-25,2022-07-25,2022-07,bench,벤치프레스,90.0,5,1,False,105.0,90 * 5,False
788,2022-07-28,2022-07-28,2022-07-28,2022-07,bench,벤치프레스,60.0,5,1,False,70.0,60 * 5,False
789,2022-07-28,2022-07-28,2022-07-28,2022-07,bench,벤치프레스,80.0,5,1,False,93.33333333333334,80 * 5,False
790,2022-07-28,2022-07-28,2022-07-28,2022-07,bench,벤치프레스,100.0,5,1,False,116.66666666666667,100 * 5,False
791,2022-07-28,2022-07-28,2022-07-28,2022-07,bench,벤치프레스,100.0,5,1,False,116.66666666666667,100 * 5,False
792,2022-07-28,2022-07-28,2022-07-28,2022-07,bench,벤치프레스,100.0,5,1,False,116.66666666666667,100 * 5,False
793,2022-07-28,2022-07-28,2022-07-28,2022-07,bench,벤치프레스,100.0,5,1,False,116.66666666666667,100 * 5,False
794,2022-07-28,2022-07-28,2022-07-28,2022-07,bench,벤치프레스,100.0,5,1,False,116.66666666666667,100 * 5,False
829,2022-07-30,2022-07-30,2022-07-30,2022-07,squat,스쿼트,60.0,5,1,False,70.0,60 * 5,False
830,2022-07-30,2022-07-30,2022-07-30,2022-07,squat,스쿼트,80.0,5,1,False,93.33333333333334,80 * 5,False
831,2022-07-30,2022-07-30,2022-07-30,2022-07,squat,스쿼트,100.0,5,1,False,116.66666666666667,100 * 5,False
832,2022-07-30,2022-07-30,2022-07-30,2022-07,squat,스쿼트,110.0,5,1,False,128.33333333333334,110 * 5,False
833,2022-07-30,2022-07-30,2022-07-30,2022-07,squat,스쿼트,110.0,5,1,False,128.33333333333334,110 * 5,False
834,2022-07-30,2022-07-30,2022-07-30,2022-07,squat,스쿼트,100.0,5,1,False,116.66666666666667,100 * 5,False
835,2022-07-30,2022-07-30,2022-07-30,2022-07,squat,스쿼트,100.0,5,1,False,116.66666666666667,100 * 5,False
836,2022-07-30,2022-07-30,2022-07-30,2022-07,squat,스쿼트,100.0,5,1,False,116.66666666666667,100 * 5,False
837,2022-07-30,2022-07-30,2022-07-30,2022-07,squat,스쿼트,100.0,5,1,False,116.66666666666667,100 * 5,False
844,2022-08-01,2022-08-01,2022-08-01,2022-08,bench,벤치프레스,60.0,5,1,False,70.0,60 * 5,False
